directory/agriculture_and_related_sciences,directory/veterinarysciencesagriculture
directory/architecture,directory/architecturebuildingandplanning
directory/architecture/architecture,directory/architecturebuildingandplanning/architecture
directory/bio_med_sciences,directory/biologicalsciences
directory/bio_med_sciences/biology,directory/biologicalsciences/biology
directory/bio_med_sciences/botany_plant_biology,directory/biologicalsciences/botany
directory/bio_med_sciences/conservation_biology,directory/biologicalsciences/othersinbiologicalsciences
directory/bio_med_sciences/ecology,directory/biologicalsciences/othersinbiologicalsciences
directory/bio_med_sciences/environmental_biology,directory/biologicalsciences/othersinbiologicalsciences
directory/bio_med_sciences/genetics,directory/biologicalsciences/genetics
directory/bio_med_sciences/microbiology,directory/biologicalsciences/microbiology
directory/bio_med_sciences/nutrition,directory/biologicalsciences/othersinbiologicalsciences
directory/bio_med_sciences/zoology_and_animal_biology,directory/biologicalsciences/zoology
directory/col_groups,DELETE
directory/departments,DELETE
directory/departments/cnr,directory/college_of_natural_resources
directory/engineering,directory/engineering
directory/law,directory/law
directory/medicine_and_related_clinical_sciences,directory/medicineanddentistry
directory/medicine_and_related_clinical_sciences/environmental_health,directory/medicineanddentistry
directory/natural_resources_and_conservation,DELETE
directory/natural_resources_and_conservation/environmental_science,DELETE
directory/natural_resources_and_conservation/environmental_studies,DELETE
directory/natural_resources_and_conservation/forestry,directory/veterinarysciencesagriculture/forestry
directory/natural_resources_and_conservation/natural_resources_management_policy,DELETE
directory/physical_sciences,directory/physicalsciences
directory/physical_sciences/atmospheric_chemistry_and_climatology,directory/physicalsciences/othersinphysicalsciences
directory/physical_sciences/hydrology_and_water_resources,directory/physicalsciences/othersinphysicalsciences
directory/social_sciences,directory/socialstudies
directory/social_sciences/economics,directory/socialstudies/economics
directory/social_sciences/international_and_global_studies,directory/socialstudies/othersinsocialstudies
directory/visual_and_performing_arts,DELETE
